xh,高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
91ec62fe0321ac55c310168239e53283,85,,83,,83,86,71,87,82,87,90,83,87,87,,74,81,92,85,87,84,80,,86,76,83,81,92,95,,91,85,70,71,73,,83
1f442dc5434b797cc055e9c70395efd8,76,91,83,96,89,99,70,77,78,82,83,87,88,93,80,70,71,92,65,73,84,68,92,76,70,76,77,83,95,81,79,73,83,66,98,73,87
3c390d524b79130212ab90fad37a8d67,97,93,87,,98,87,95,89,87,82,90,83,95,95,,87,84,87,73,92,83,85,100,91,82,86,81,83,97,84,82,81,92,76,87,78,87
0322605d7c7cae189425a4ad84eb4074,87,91,87,93,82,69,79,92,79,82,80,87,79,73,90,90,68,98,72,87,82,71,,,85,83,79,87,95,86,90,85,83,75,92,84,83
4e8d1f3d7476da29d671d974267b5f5c,81,78,87,85,82,81,87,84,85,91,79,87,87,96,82,98,85,98,76,92,90,90,99,91,81,90,88,98,95,91,91,86,87,90,92,91,83
87861c3bd4c4e54d676c1b115edb1443,83,82,83,82,76,89,72,72,71,71,76,92,76,92,85,94,60,98,87,92,80,66,97,78,76,88,78,83,97,93,,73,83,87,87,85,83
68c5f772c4ed7f88a0fdd4ec5d218ace,,,,,,,,67,,,,,,,,72,,92,,30,76,60,92,,,,,,,,,68,,60,,,
c5f48eb1c38106bba18fb7b9f2102788,93,,87,97,95,100,96,87,92,97,95,87,94,94,96,91,88,98,67,92,92,91,,95,92,84,88,98,95,93,,83,92,85,87,94,87
2dde6f2b7737b23dfe6cf472fa157ee5,91,,79,99,95,92,94,96,87,84,92,79,88,96,91,96,87,92,76,83,84,98,97,93,83,79,84,92,95,89,99,90,87,87,92,85,92
2d0b2089a763666efe6ff5ca38188f76,73,77,87,,77,87,81,80,71,76,79,87,92,90,,85,65,98,90,92,69,85,,,74,76,75,87,95,86,96,73,98,80,87,75,87
70e9d6afb34861f5db2a278d21ef8fb4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f97a007dbd52918f46557905731221f4,84,,87,86,80,98,60,75,84,78,85,92,84,80,88,96,74,98,65,92,84,84,100,90,81,84,85,92,97,81,88,73,92,76,87,,83
4f5183e91bf6c2c1d46af1fc19283894,,64,84,,,89,80,71,62,69,61,83,80,85,67,61,64,92,80,92,87,85,92,,84,88,70,92,95,,73,81,98,81,98,89,87
