xh,高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
26cf27068d7cbd0483740111306a34c0,85,92,92,90,87,80,75,84,75,76,91,87,78,92,87,81,81,87,81,90,92,85,100,94,69,88,85,87,95,84,85,80,76,73,66,60,87
d794f39bfdd7487ff597951324b85658,80,86,,87,83,90,87,76,77,87,84,92,84,92,81,78,79,87,72,90,82,77,97,,86,82,72,83,75,91,,81,92,80,87,96,87
d67c1d42b80bab5aea6d5902d636a1d6,83,82,,83,82,97,90,74,71,87,92,87,92,95,78,69,77,87,60,87,73,79,97,85,88,78,77,70,70,78,,71,83,73,79,79,87
2bb6aa2e8850198d1ad89facaacfeffc,84,90,87,78,86,71,65,76,70,85,80,87,92,88,81,90,68,98,87,92,81,86,97,83,85,72,78,98,95,96,89,83,83,86,87,96,83
ed639aba75ea31d9cfa38464ae4e5824,69,,92,88,85,95,96,92,79,81,87,92,92,94,77,94,84,98,89,92,96,89,100,94,87,92,94,92,95,,,83,92,74,87,80,92
bfcac60527200ee4c9ad0e6d75d7e066,86,97,87,94,89,92,86,91,91,88,91,92,88,97,95,86,80,92,77,92,93,92,95,94,76,60,69,92,95,60,85,76,87,87,87,82,83
1c771796a5501d832c787a27576b109d,94,87,83,89,93,91,63,81,77,81,86,83,79,93,83,65,81,92,86,92,66,60,,70,66,60,62,92,95,62,65,68,83,70,83,,83
4caf75d1ea536a5c37566a4e3fe7c155,73,91,87,95,71,97,84,78,72,83,82,83,92,93,87,95,80,98,80,92,84,82,91,,82,80,78,92,81,,73,70,87,73,98,78,87
c41ae0b5c3b55defde53fd59e1813b65,71,77,90,74,61,90,77,61,63,76,73,98,87,93,68,61,62,92,87,83,73,71,,82,76,83,61,92,70,,78,68,76,68,88,89,73
2d309be8b5f852f8f519a5e0ff23269a,85,,83,87,80,91,87,87,84,91,90,87,95,90,86,69,81,98,76,87,90,79,,92,91,77,84,76,95,89,,80,73,71,92,79,87
fdff2483b006c872f27f8bf1f8d7f56f,80,87,87,85,76,81,74,66,69,85,85,87,83,85,81,84,68,98,66,92,90,89,95,89,84,83,80,92,95,84,83,78,87,80,92,83,79
a4c612f279402b63b816080292ee173f,85,88,87,91,81,96,92,81,77,82,89,76,95,91,87,96,82,98,83,92,88,85,97,86,87,92,87,83,97,88,88,81,87,73,98,92,83
34aacc825e8d1f1f013d2f9f6f79d053,95,96,87,97,95,83,63,99,87,80,94,87,96,90,87,95,83,98,89,83,87,84,,,92,87,86,92,95,84,93,84,92,81,87,91,87
dec371fac20b337c59d647317002cc45,72,83,87,84,84,73,86,62,72,61,87,87,76,66,70,67,84,87,84,92,77,83,89,94,71,72,78,83,95,85,88,69,70,62,92,81,66
36a1dd08df6a31337b11fe6e936c17aa,90,86,87,94,77,77,86,85,75,82,87,83,91,82,91,83,93,92,70,98,74,74,100,84,77,84,73,92,95,78,0,77,79,78,98,80,87
f50c8a1daab02ed90d6dc1a36470d3bf,81,91,92,,72,70,79,80,80,71,71,92,92,76,,85,77,92,80,92,71,73,97,89,70,83,62,92,100,,78,67,83,74,87,84,79
ee66744316a0964565388c8680f538ab,93,90,87,96,86,98,89,93,78,91,88,87,96,95,94,89,84,98,84,92,86,87,96,89,90,84,92,98,100,96,97,83,92,86,92,89,87
4e0f4a53753ee05fe6358fb246907bf2,80,93,87,92,82,77,78,86,76,81,92,87,86,89,94,83,82,92,87,87,91,77,100,95,80,85,84,83,95,92,92,60,87,68,83,,83
edb3a94cdccdc7b5da175a3986440b85,91,87,87,92,90,92,77,89,86,73,87,92,78,92,90,96,85,98,76,87,85,88,98,90,82,86,80,98,97,90,94,80,92,84,87,86,87
8e5db53c0769f2466dc2712d5e6642f1,82,92,79,91,75,92,87,82,78,75,90,87,76,90,78,86,68,79,72,87,80,77,95,87,67,75,78,83,95,77,80,80,76,63,83,77,83
a255f8c5aa7c727fdf4f1053b737b3e9,84,85,87,87,88,84,72,82,80,90,80,87,98,92,80,97,85,92,77,92,90,91,97,94,90,84,83,98,95,90,99,85,83,85,98,89,87
4632960b0f0ddca7586658e9ab0b39a1,92,96,92,97,93,88,96,99,91,87,88,92,95,99,96,100,83,92,87,92,92,91,99,97,87,89,84,98,100,92,96,84,92,91,92,90,83
1838becaf50a20bc496baa06706626cf,82,,87,86,73,94,83,76,77,88,89,87,88,87,83,91,71,98,87,76,90,91,,95,87,85,84,92,95,94,91,84,92,77,87,84,83
c4648a185cdf4704b0e049ee19af30ec,95,94,83,98,94,99,86,98,96,93,93,87,87,95,94,98,88,92,79,92,94,93,100,,88,93,93,98,95,95,90,93,92,91,83,90,87
11842e628f9fe06d7973c8915011a28c,,81,79,90,,95,,82,74,90,82,83,95,87,83,88,77,92,74,92,91,79,96,88,80,79,85,98,95,,79,85,87,75,87,82,87
78aa5c2015fb2e441e6e40042b029c5b,91,91,83,96,94,96,61,94,93,91,96,83,88,94,92,97,87,92,88,87,92,89,100,98,98,92,88,92,95,,99,86,87,85,87,85,92
107f9d9f3f127228397f9866e0c8199a,90,88,83,,67,89,89,80,79,78,81,79,85,74,,74,77,87,75,87,67,60,97,91,82,66,80,87,95,75,86,64,92,74,87,75,73
f2b4160e43c91120908e741b3e31f804,,,,,,,,63,,,,,,,,58,,98,,30,66,81,,,,,60,,,,,69,76,74,,,
be3fe02692804d1b9e7465ea32673bd9,92,,87,98,88,91,97,86,91,92,89,87,95,,89,88,83,98,74,70,89,71,96,,86,86,84,87,95,,87,74,79,62,92,,87
b3933d4165da1257f7eabfa99f15835f,74,90,87,84,74,83,69,79,69,71,82,83,83,90,89,86,73,92,66,92,83,75,94,,73,81,77,87,95,70,98,78,98,77,87,88,83
69635e4d3ea63f567b8852cccb305d59,90,,87,90,69,95,75,84,69,73,80,87,87,89,84,88,64,87,86,92,86,86,96,89,73,91,80,92,97,97,85,76,92,75,87,82,83
e0178ce08dae5c1d57864777a2294b09,84,,83,97,83,99,87,98,97,92,94,92,92,97,98,100,93,92,77,92,96,96,,98,93,95,92,98,100,98,100,95,98,94,98,99,92
f0aeee882da137a55b250fc76f924125,,74,83,99,,99,,78,75,86,81,87,95,67,90,84,66,98,92,76,86,90,96,,82,89,94,98,100,93,,75,98,80,98,92,87
c1b68883e900bf393df3b54f07690d05,,89,98,96,,96,,80,78,94,88,92,92,97,94,100,92,92,82,90,89,93,100,99,97,93,96,98,97,94,,95,92,84,92,92,92
edd2ce279439708f288c77269d082eb0,81,84,87,86,77,72,75,83,82,80,84,87,83,,91,90,78,87,76,87,86,84,97,90,89,86,86,98,95,79,,84,83,61,92,63,83
b2048f506c278a58c12ae8fa9b2fdfab,79,80,79,91,82,87,70,77,88,84,77,83,85,92,88,93,67,87,70,87,82,84,97,95,76,82,74,83,95,,89,72,92,71,87,71,83
7de1402a51f9d76295c910da2a78d698,92,,83,94,79,98,89,91,91,84,94,87,92,,86,89,80,87,68,92,83,91,99,93,87,87,70,87,100,85,83,72,83,70,76,,79
29f500768c75a6d6bffbef88a4251ca5,88,90,87,97,81,76,89,87,80,88,87,87,83,89,87,87,74,92,81,87,78,80,100,92,80,76,78,87,95,78,93,80,83,77,92,69,83
