xh,24式太极拳,专业实习II,专业实习Ⅰ,中国近现代史纲要,习近平新时代中国特色社会主义思想概论,人工智能,优化方法基础,体育-1,体育-2,体育-3,体育-4,军训,国防教育,大学化学,大学化学实验,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语I,大学英语III1,大学英语III2,大学计算机III,工程与社会,工程制图,形势与政策,形式语言与编译,思想道德修养与法律基础,操作系统原理I,操作系统设计专题实验,数字逻辑电路,数学建模II,数据库系统,数据结构与程序设计专题实验,数据结构与算法I,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,毕业设计（论文）,毛泽东思想和中国特色社会主义理论体系概论,汇编语言,测控实习,生命科学基础I,电子技术实验1,电子技术实验2,电工实习,电路,离散数学A,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,表达与交流,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,课外实践8学分,软件定义网络,软件工程,金工实习,面向对象程序设计,项目设计,马克思主义基本原理,高等数学I-1,高等数学I-2
0220e95733d888f27a57366627c9656b,0,0,0,82.0,0,0,0,79,73,0,0,78,90,0,0,80.0,0,92,0,79,0,0,93,0,78,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,79,0,0,0,0,0.0,100,0,93,0,0,0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,90,78
02288f0119dcbdb413eeeb24ad6b3c29,0,0,0,85.0,86,0,0,78,76,80,0,94,89,84,97,0.0,0,87,87,0,0,0,0,0,88,0,0,0,0,0,90,93.0,0,92,95,0.0,90,95,0,0,91,0,87,0,92,87,87,90,88.0,99,0,92,0,0,0,0.0,0,0,0,0,0,0,0,0,92,94,0,85,80,92
0258116af16119325cb71265a7d24c1a,73,92,79,82.0,0,92,80,0,0,85,79,87,91,0,0,99.0,95,87,87,0,78,86,0,86,94,60,89,87,87,98,93,0.0,89,94,93,95.0,93,0,97,83,90,96,98,0,92,92,87,93,93.0,90,0,0,88,86,97,94.0,87,85,100,98,92,60,98,86,92,94,87,89,92,88
0258bb9bdd903053db75f2f7c798c44d,85,92,79,85.0,0,71,85,0,0,0,0,95,93,0,0,62.0,60,85,86,0,83,78,0,96,71,0,61,93,78,92,74,0.0,70,0,73,76.0,74,0,80,0,92,77,92,71,79,83,83,67,79.0,83,80,71,85,62,0,83.0,92,69,83,98,66,60,73,87,92,71,83,83,71,69
0264b304d66726cb2b8ea0ada210de96,0,0,0,86.0,0,0,0,81,79,0,0,82,88,0,0,97.0,0,98,0,81,0,0,90,0,67,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,92,0,0,0,0,0.0,99,0,100,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,90,95
026ac9c9c5f5c449055434153a790106,88,92,92,84.0,88,88,0,90,88,86,76,87,90,76,98,95.0,93,87,92,74,0,0,0,78,0,60,77,76,86,98,89,91.0,78,83,85,0.0,72,85,0,87,89,0,92,0,83,77,92,90,90.0,82,75,83,80,83,90,84.0,76,87,83,92,84,60,82,0,92,91,83,0,83,87
027562a725f1385690c5bc9bf7152c34,0,0,92,81.0,88,74,0,93,87,96,96,87,94,82,95,74.0,89,92,92,0,0,0,79,87,83,0,87,88,89,98,86,82.0,83,83,77,0.0,86,86,0,0,85,0,98,0,83,87,92,90,92.0,82,84,93,82,0,0,93.0,0,85,88,87,81,0,0,0,87,92,0,84,81,85
028b3d252827eb30ccd2c1fae01116e5,0,83,82,84.0,88,82,93,91,91,95,89,87,97,87,99,93.0,85,98,98,83,0,0,92,93,88,0,0,94,91,98,87,0.0,0,98,84,0.0,94,0,0,0,92,0,92,0,92,92,92,78,88.0,100,90,94,91,0,93,92.0,0,78,93,92,87,0,88,0,87,97,0,0,92,95
02ba51d7dd5a6ba3ae6e6cf1ce3e5033,62,87,92,85.0,0,81,82,0,0,0,0,87,93,0,0,87.0,86,85,92,0,75,78,0,91,91,60,81,72,89,92,81,0.0,84,98,91,0.0,82,0,61,83,88,87,92,88,98,83,83,88,94.0,84,75,88,89,90,0,89.0,85,83,92,83,87,60,0,83,92,86,79,87,75,82
02ca2b75d0c55c1b9f853ddde082f55e,0,0,92,85.0,84,79,0,85,91,79,82,82,90,86,94,86.0,76,92,83,80,0,0,81,90,79,0,82,90,78,83,60,78.0,70,83,73,0.0,77,76,0,0,82,0,83,0,87,87,87,80,78.0,84,78,85,84,0,0,93.0,0,75,81,83,84,0,81,0,87,75,0,81,80,81
