人工智能,优化方法基础,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语i,大学英语iii1,大学英语iii2,大学计算机iii,工程制图,形式语言与编译,操作系统原理i,操作系统设计专题实验,数字逻辑电路,数学建模ii,数据库系统,数据结构与程序设计专题实验,数据结构与算法i,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,汇编语言,电子技术实验1,电子技术实验2,电路,离散数学a,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络,软件工程,面向对象程序设计,高等数学I-1,高等数学I-2
89,74,86.0,86,87,87,,75,82,,80,65,65,76,84,,80,95,71,80.0,66,,62,,98,87,78,91.0,89,,85,74,86,90.0,98,77,90,79,81,76,72,83,79,71
73,,97.0,87,87,87,,74,81,,87,73,75,87,68,96.0,79,83,74,,66,,79,82,92,92,79,86.0,93,87,81,71,,89.0,83,80,95,76,60,73,68,,64,75
,,,,83,87,73,,,78,90,,,,83,95.0,,98,95,,97,98,,,87,98,86,88.0,95,90,89,,,90.0,,,,,,,,88,85,82
,,,,87,92,77,,,86,74,,,,78,85.0,,87,89,,76,95,,,92,79,91,86.0,76,84,85,,,,,,,,,,,84,70,75
89,,,,87,83,,78,83,,84,80,95,92,87,98.0,82,87,86,93.0,80,,87,88,92,87,86,86.0,94,,85,73,96,,92,88,100,83,86,75,80,96,90,79
67,,91.0,79,83,73,,79,80,,99,73,80,70,84,96.0,80,83,83,90.0,66,,88,70,92,98,80,89.0,91,87,81,76,83,90.0,85,75,73,87,74,65,73,86,87,64
91,,89.0,90,85,83,,69,80,,82,77,89,92,88,80.0,83,95,85,92.0,81,,74,86,83,92,81,86.0,92,,84,88,90,88.0,92,84,79,87,84,90,80,88,81,85
,75,93.0,93,87,79,68,,,83,88,78,81,87,85,,86,92,87,,93,89,,,83,87,89,92.0,82,85,82,70,,91.0,,80,84,87,81,71,,93,80,84
,,,,92,,,,,77,67,,,,,,,,,,,,,,,,,,93,,92,,,,,,,,,,,,87,88
,87,91.0,100,87,98,,73,86,,88,79,60,60,80,93.0,84,93,92,93.0,92,,92,94,98,79,94,60.0,60,60,,79,,81.0,98,60,60,87,60,96,84,,,
26,90,75.0,70,82,72,,80,83,,87,74,71,30,82,,65,,74,,60,,94,91,92,92,60,69.0,90,5,75,90,,75.0,66,60,62,73,84,68,60,86,62,74
,,67.0,67,87,83,,,,70,,,,,64,87.0,,83,66,,26,38,,69,87,79,44,69.0,,69,93,,,84.0,,,,,,,,71,,
,,97.0,,83,,80,,,80,96,,,,,,,,,,,,,,,,,,94,,98,,,,,,,,,,,,83,91
,,92.0,96,87,87,83,,,83,85,,,,84,95.0,,83,94,,90,98,,,83,83,96,97.0,84,89,95,,,87.0,,,,,,,,94,83,85
,,94.0,86,87,87,72,,,,,,,,,92.0,,83,90,,90,92,,,87,87,85,87.0,90,86,79,,,,,,,,,,,93,81,84
,80,86.0,90,79,83,80,,,88,78,83,86,98,82,93.0,87,92,97,,87,93,,83,92,87,90,87.0,94,85,81,86,,90.0,72,87,98,98,94,,,91,81,70
,,95.0,,98,,81,,,74,92,,,,,,,,,,,,,,,,,,83,,99,,,90.0,,,,,,,,,90,90
74,62,85.0,68,82,87,,71,73,,82,60,66,98,62,,74,92,74,,66,,70,66,92,79,61,90.0,93,80,69,79,,87.0,88,80,83,76,60,86,77,92,75,80
,,92.0,89,98,98,,,,96,94,,,,83,88.0,,92,94,,85,95,,95,98,98,94,94.0,100,91,89,,,91.0,,,,,,,,,74,79
68,,,,,87,,82,84,,65,84,77,87,62,73.0,71,81,76,77.0,63,,61,65,87,92,74,80.0,75,,,66,76,,87,82,95,76,65,79,63,76,,
81,88,93.0,92,88,83,,80,88,,,82,88,98,79,85.0,89,83,89,92.0,92,,89,87,98,79,92,82.0,95,78,90,90,,99.0,88,90,79,83,89,95,86,,,
,,95.0,91,98,98,,,,82,81,,,,88,94.0,,92,99,,91,96,,,87,92,89,97.0,89,82,95,,,91.0,,,,,,,,95,76,80
,,86.0,92,92,98,,,,94,77,,,,80,94.0,,92,98,,78,95,,,87,83,90,87.0,97,74,89,,,,,,,,,,,87,77,70
93,,85.0,91,91,87,,78,77,,82,67,86,92,74,97.0,78,,82,,98,,79,87,87,85,90,78.0,89,90,96,88,,86.0,87,87,98,87,69,90,87,96,90,90
89,,89.0,92,92,98,80,,,79,84,82,92,98,83,85.0,84,83,82,,88,89,,,92,83,88,87.0,73,82,75,87,,94.0,,82,92,92,86,,,88,69,71
,,97.0,87,83,92,,,,72,,,,,80,88.0,,92,88,,88,80,,,92,83,79,85.0,98,83,94,,,,,,,,,,,,81,94
77,,87.0,83,87,83,,81,88,,73,74,74,92,87,91.0,82,86,77,,71,,94,80,92,98,67,70.0,81,87,79,66,83,,92,83,95,83,79,95,77,79,77,77
,,96.0,91,83,92,74,,,66,71,68,86,92,74,92.0,87,87,93,,91,97,,89,87,81,93,92.0,83,85,83,83,86,84.0,76,87,87,92,86,94,,93,88,73
78,67,70.0,68,80,87,,78,78,,64,61,67,92,66,,74,,63,78.0,67,,62,79,76,92,71,72.0,89,84,84,79,,83.0,76,75,98,92,68,69,76,85,88,68
62,,74.0,83,87,87,82,,,85,80,47,55,87,71,76.0,62,87,79,,61,75,,,98,87,90,78.0,68,71,88,79,72,94.0,,42,77,83,63,,,79,80,78
85,,94.0,91,83,87,,88,81,,81,81,92,98,86,94.0,78,92,87,87.0,81,,93,86,92,98,90,83.0,99,,95,78,92,,87,81,95,98,83,81,78,97,92,95
81,83,82.0,80,88,79,,74,76,,62,79,85,92,85,,85,87,82,,68,,67,86,79,79,77,68.0,82,78,80,76,90,83.0,88,89,70,76,81,85,78,81,70,75
65,85,95.0,87,78,80,,73,73,,,69,82,83,77,,67,,87,82.0,90,,81,83,76,87,85,88.0,,86,94,78,,88.0,79,64,79,87,71,72,73,,,
,,94.0,96,87,92,83,,,,,,,,90,94.0,,85,94,,93,96,,,87,87,87,94.0,94,92,93,,,,,,,,,,,94,88,94
,,92.0,89,92,98,78,,,83,84,,,,88,90.0,,85,96,,86,99,,,92,87,91,89.0,100,92,96,,,,,,,,,,,94,70,80
,,99.0,,98,,87,,,88,96,,,,,,,,,,,,,,,,,,100,,97,,,86.0,,,,,,,,,98,94
90,83,87.0,89,84,92,,81,89,,73,84,87,92,82,,85,79,80,87.0,84,,60,85,92,83,88,88.0,88,86,89,77,94,92.0,90,85,79,79,96,90,83,83,75,84
80,90,90.0,86,98,87,,,,98,93,86,91,98,74,,91,87,85,,91,86,,,87,79,92,88.0,100,85,89,98,,90.0,,70,90,87,89,,,92,86,87
,,88.0,,87,,71,,,75,71,,,,,,,,,,,,,,,,,,76,,93,,,,,,,,,,,,84,85
,,94.0,94,98,98,80,,,,,,,,92,90.0,,90,99,,94,98,,,87,92,96,92.0,97,87,95,,,,,,,,,,,94,79,88
,,91.0,90,92,98,87,,,81,90,,,,83,91.0,,73,89,,72,82,,80,92,79,67,85.0,87,86,79,,,,,,,,,,,83,74,78
,,85.0,,98,,,,,89,87,,,,,,,,,,,,,,,,,,96,,90,,,92.0,,,,,,,,,83,84
,,84.0,,98,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,88,91
95,,93.0,93,87,98,84,,,89,82,76,90,92,85,99.0,84,87,92,,95,88,,,98,83,92,95.0,96,88,89,90,93,91.0,76,82,85,98,91,89,,90,83,85
,,89.0,78,87,92,86,,,89,75,,,,86,93.0,,87,91,,80,97,,,92,83,88,95.0,90,92,89,,,87.0,,,,,,,,91,81,75
,84,82.0,80,83,64,,74,63,,83,68,90,87,69,,72,,,,75,,93,83,70,83,65,73.0,83,86,64,81,82,74.0,62,81,80,90,82,90,68,87,60,78
72,92,96.0,83,83,87,,72,80,,81,84,86,98,83,,81,87,85,90.0,92,,89,89,92,92,91,93.0,99,,98,94,90,93.0,92,87,97,83,80,,81,94,97,92
83,,88.0,85,83,87,78,,,,,87,86,92,83,83.0,80,83,77,,64,94,,,87,87,89,75.0,99,82,81,84,,93.0,,84,70,87,84,,,91,73,81
,,62.0,67,85,88,,81,79,,67,65,90,90,61,65.0,69,,,,63,,75,73,80,79,67,60.0,77,79,76,79,82,65.0,70,60,85,91,77,81,79,81,69,84
,,93.0,,92,,,,,76,94,,,,,,,,,,,,,,,,,,73,,96,,,91.0,,,,,,,,,89,88
67,79,68.0,69,80,82,,80,75,,72,60,68,83,77,,61,,61,71.0,63,,79,77,76,83,73,63.0,75,82,60,75,,83.0,83,68,79,73,60,70,70,78,63,74
39,,77.0,,,79,,,,,,39,61,30,60,66.0,60,,,69.0,45,,63,32,62,,60,76.0,,51,70,,61,79.0,30,60,30,62,60,10,34,61,,
80,69,77.0,77,88,92,,83,87,,66,72,83,92,81,,73,87,70,,72,,74,79,87,92,70,74.0,92,,84,81,82,94.0,85,86,92,76,83,88,77,80,80,78
,,63.0,74,80,81,,77,70,,63,60,79,81,79,70.0,65,,,82.0,61,,72,63,80,76,60,60.0,75,77,61,86,75,74.0,62,60,78,88,64,77,66,66,60,84
,64,65.0,69,90,92,,72,74,,61,63,72,92,66,,75,79,82,77.0,70,,60,83,83,83,88,70.0,91,69,77,79,70,89.0,88,75,79,83,80,87,71,80,66,70
90,93,82.0,73,89,98,,76,84,,62,74,80,79,75,,73,83,75,87.0,77,,73,81,92,79,80,67.0,78,77,82,82,94,90.0,88,71,62,79,85,88,67,77,77,77
,,94.0,76,87,76,80,,,60,78,,,,67,,,83,85,,73,49,,,83,30,69,74.0,94,78,86,,,86.0,,,,,,,,86,85,78
85,95,94.0,78,94,90,,82,83,,90,85,89,98,86,,81,,84,98.0,85,,91,95,92,79,100,88.0,95,90,91,80,,96.0,92,84,98,98,85,85,87,94,90,85
65,69,65.0,68,79,85,,77,77,,60,61,80,98,67,,77,,69,78.0,83,,86,75,79,81,60,68.0,83,82,64,97,77,83.0,83,78,79,87,66,68,76,96,61,70
,,92.0,93,79,83,,,,72,84,,,,84,92.0,,87,96,,94,95,,,87,83,95,88.0,96,92,94,,,,,,,,,,,94,77,88
89,86,74.0,80,79,86,,77,80,,60,76,83,92,78,,75,,71,88.0,90,,90,85,79,88,89,79.0,83,88,92,78,,85.0,92,94,98,92,83,97,85,86,87,87
78,89,88.0,92,79,82,,84,84,,,83,82,79,72,,77,,,,92,,94,79,80,87,87,90.0,,90,96,85,,84.0,83,71,83,86,71,84,70,,,
,,88.0,,83,,70,,,85,76,,,,,,,,,,,,,,,,,,100,,84,,,91.0,,,,,,,,,85,81
84,,89.0,92,83,92,75,,,75,60,69,89,83,76,92.0,78,92,81,,87,66,,,79,81,89,86.0,75,77,80,77,,89.0,76,77,85,87,82,,,87,83,68
75,,,,83,79,,74,78,,89,77,66,87,67,97.0,64,85,78,91.0,79,,74,60,87,87,80,81.0,89,,88,75,86,81.0,87,82,95,92,80,75,74,74,90,67
,79,92.0,90,92,92,,82,86,,,81,94,98,90,97.0,92,96,84,98.0,78,,88,88,98,92,89,91.0,100,84,87,96,98,,98,91,97,98,92,94,79,95,80,85
,86,67.0,63,84,84,,74,79,,90,75,86,96,81,,75,,,73.0,79,,63,86,80,92,60,67.0,89,85,70,79,75,90.0,92,66,80,86,68,,71,92,60,68
66,,,,,,,,,,,74,,75,60,80.0,67,87,,61.0,,65,,68,70,80,60,,,77,,70,,,70,70,69,85,61,76,78,,,86
,,99.0,98,98,98,,,,,,,,,85,97.0,,87,94,,97,96,,,98,98,90,97.0,100,,97,,,,,,,,,,,94,89,93
92,,97.0,96,92,92,73,,,,,73,91,92,72,89.0,83,79,80,,98,68,,93,87,79,87,91.0,100,79,94,77,,82.0,76,85,76,92,84,,,98,84,91
,,,,92,,85,,,83,92,,,,,,,,,,,,,,,,,,92,,99,,,89.0,,,,,,,,,96,97
81,76,,,92,92,85,,,77,80,83,78,92,70,,82,92,73,,73,88,,,92,79,80,83.0,79,79,74,82,,92.0,,89,82,87,70,,,72,69,76
,,90.0,83,79,83,,73,78,,,77,79,98,91,96.0,85,95,90,88.0,74,,88,79,92,92,82,82.0,95,95,81,74,79,,87,80,95,87,85,82,75,87,,
,,100.0,97,98,92,78,,,80,78,,,,86,91.0,,87,94,,88,95,,,87,87,97,95.0,100,88,96,,,90.0,,,,,,,,87,91,82
,,86.0,75,92,87,75,,,70,83,,,,82,88.0,,87,65,,72,88,,,92,62,63,78.0,82,70,86,,,,,,,,,,,,86,78
