形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理
87,94,98,90,87,92,100,92,88
88,84,98,83,67,92,95,92,88
88,92,92,90,88,89,100,92,88
95,91,92,87,84,92,95,87,88
69,92,92,82,81,88,70,87,88
77,91,98,87,80,90,85,92,88
92,90,98,77,70,80,95,73,88
77,80,98,80,88,85,100,92,88
85,90,98,86,76,81,95,87,88
81,90,90,90,83,87,93,93,88
84,89,98,86,88,85,83,92,88
80,85,98,86,86,83,92,79,88
66,86,77,73,91,69,69,87,88
88,90,98,77,91,80,98,87,88
83,89,92,83,84,88,83,87,88
67,92,98,79,78,84,100,98,88
82,89,87,92,83,85,72,87,88
81,84,92,72,90,87,79,76,88
80,92,92,75,81,78,85,79,88
61,78,92,76,84,72,76,92,88
78,87,92,88,77,93,92,87,88
94,86,98,90,96,83,96,92,87
79,92,98,85,91,89,83,87,87
81,93,87,87,81,92,85,87,87
87,88,92,84,93,88,95,87,87
78,87,98,82,86,82,83,83,87
0,91,98,0,91,78,93,92,87
86,99,100,84,77,82,97,90,87
92,87,98,86,82,78,93,87,87
80,90,93,83,80,87,92,92,87
75,82,92,78,80,75,83,87,87
87,97,97,83,83,91,88,91,87
95,89,98,87,91,84,98,98,87
80,85,94,78,88,84,83,90,87
79,94,92,77,82,76,78,87,87
88,88,88,86,80,69,83,88,87
89,91,98,84,82,81,95,92,87
70,81,92,91,74,77,95,76,87
0,81,98,0,0,0,0,0,87
76,87,98,85,94,81,98,87,87
73,85,92,81,71,86,95,98,87
82,98,98,75,80,91,90,93,87
74,87,98,80,76,84,78,70,87
74,83,98,79,79,81,83,92,87
71,92,98,82,85,73,98,92,87
83,93,98,90,86,89,79,79,87
0,91,92,86,87,74,90,92,87
75,92,83,81,94,91,92,87,87
73,90,98,75,87,83,98,98,87
81,89,92,84,89,83,92,83,87
71,83,92,75,80,92,92,76,87
83,94,98,88,88,85,92,79,87
81,82,92,84,72,79,97,87,87
86,85,92,87,88,80,90,87,87
85,94,92,87,90,94,87,83,87
65,88,92,83,77,88,97,87,87
87,87,98,78,85,92,100,92,87
72,85,98,81,94,87,98,79,87
86,90,92,79,75,88,84,92,87
85,85,92,83,90,90,95,92,87
82,92,83,81,83,87,97,87,87
77,90,92,92,74,83,83,92,87
90,84,87,83,82,77,81,87,87
0,88,98,82,82,80,86,87,87
79,87,92,83,83,80,83,83,87
83,72,92,68,82,77,88,79,87
77,94,98,73,86,93,98,92,87
84,85,92,85,85,95,81,87,87
64,89,92,72,76,90,79,76,87
0,87,89,89,85,81,82,90,87
92,90,98,84,78,91,83,87,86
80,87,98,82,82,85,98,87,86
68,86,92,87,83,87,87,92,86
82,89,98,81,90,93,87,92,86
80,92,98,81,86,83,100,92,86
65,94,98,89,91,94,87,87,86
61,65,0,60,80,62,0,0,86
86,91,92,86,84,75,90,87,86
85,69,66,60,88,84,85,92,86
81,83,92,60,84,60,60,92,86
82,92,98,84,87,82,92,92,86
90,97,98,83,83,88,95,92,86
83,94,98,75,80,90,79,90,86
83,87,92,84,89,92,95,92,86
93,90,92,88,84,76,92,98,86
81,88,98,86,89,85,90,87,86
76,82,98,81,77,84,83,98,86
92,90,98,87,93,70,96,92,86
82,92,98,90,93,84,98,98,86
76,89,86,74,82,86,80,87,86
75,85,92,84,80,85,80,87,86
73,80,98,83,83,90,88,87,86
78,86,98,84,76,89,95,83,86
79,87,97,79,89,60,88,88,86
71,80,87,78,72,69,83,79,86
74,82,92,74,71,60,90,83,86
80,82,92,84,82,79,89,92,86
80,95,92,82,73,88,100,83,86
89,81,98,81,89,96,92,76,86
81,87,92,81,76,79,100,92,86
85,91,92,80,85,83,79,83,86
88,83,98,83,81,73,81,87,86
