大学物理II-2,大学物理实验I-1,操作系统设计专题实验,数字逻辑电路,概率统计与随机过程,电路,离散数学a,线性代数与解析几何
95,83,0,91,89,93,96,95
81,78,92,71,90,93,63,72
81,84,79,83,81,93,91,89
95,83,0,83,95,93,92,95
91,98,98,78,83,93,96,86
90,87,92,83,85,93,96,96
91,84,98,90,91,93,88,83
90,87,92,90,91,93,93,91
95,88,98,88,95,93,90,91
91,87,98,89,86,93,90,91
94,98,98,85,83,93,92,88
95,98,0,82,85,93,90,95
93,87,98,92,91,93,87,85
82,82,98,68,81,93,76,86
94,87,0,85,87,93,96,96
97,87,98,76,90,93,97,97
94,0,98,91,97,93,0,96
91,86,98,88,91,93,95,90
85,85,98,76,88,93,79,83
91,87,92,87,95,93,94,96
99,92,0,87,97,93,92,98
94,87,98,86,78,93,88,90
93,83,98,81,0,93,80,79
94,79,98,92,91,93,92,84
90,87,87,82,79,92,80,91
92,88,98,79,92,92,82,90
86,98,98,74,91,92,88,89
93,87,92,85,95,92,95,89
0,87,98,91,90,92,96,98
88,92,0,86,87,92,94,70
79,83,92,64,75,92,71,85
0,92,98,94,90,92,98,96
0,66,98,86,90,92,95,80
93,87,98,91,88,92,87,94
80,80,98,88,91,92,75,78
0,92,98,86,84,92,96,99
95,83,98,91,93,92,94,89
89,87,98,77,93,92,87,90
83,77,0,74,92,92,77,97
96,92,98,67,83,92,91,94
73,79,92,78,86,92,80,88
85,87,92,93,81,92,84,84
88,83,92,65,75,92,74,83
91,79,93,75,85,92,85,96
96,85,98,94,93,92,76,90
89,98,92,80,84,92,83,95
95,98,92,89,87,92,94,92
94,98,98,83,89,92,90,71
97,83,0,92,97,92,94,100
93,92,98,86,72,92,95,83
86,87,92,73,76,92,79,85
93,87,98,93,88,92,90,88
96,83,0,90,92,92,88,88
97,84,93,85,91,92,92,100
73,87,98,88,79,92,87,85
85,87,92,92,78,92,85,95
92,92,98,88,94,92,88,82
96,92,98,90,92,92,94,95
91,92,92,92,89,92,89,90
82,98,98,65,91,92,88,87
91,86,92,87,94,92,91,93
77,92,92,96,79,92,87,0
95,98,98,93,89,92,91,93
75,84,93,88,87,92,76,84
0,92,87,77,79,92,89,89
0,87,0,78,76,91,86,85
89,92,0,88,86,91,89,96
83,83,98,83,92,91,93,98
77,87,92,85,78,91,83,86
78,63,92,87,94,91,64,76
89,83,0,85,97,91,85,97
91,83,92,86,81,91,78,87
88,87,90,80,86,91,74,86
0,83,98,71,74,91,82,74
0,87,92,89,84,91,90,93
79,85,98,85,83,91,88,80
0,92,98,80,84,91,88,78
0,98,98,85,94,91,90,90
92,87,98,80,68,91,93,88
0,92,92,84,90,91,81,85
85,83,98,83,90,91,92,90
92,92,98,81,82,91,92,90
89,79,62,78,87,91,83,71
89,87,98,82,84,91,87,90
94,82,97,83,81,91,75,100
86,85,98,89,84,91,90,87
72,87,92,78,91,91,81,70
90,80,71,76,83,91,76,85
96,92,92,92,93,91,97,91
93,89,92,84,70,91,83,86
86,83,87,83,91,91,94,0
94,80,94,87,86,91,87,93
93,87,98,89,98,91,94,98
98,92,98,0,93,91,0,98
83,88,98,85,98,91,92,86
87,79,79,70,67,91,80,78
0,98,98,90,89,91,90,94
79,88,92,86,80,91,67,87
0,87,92,80,78,91,83,83
94,98,0,81,95,91,94,96
95,87,92,93,91,91,91,97
97,98,0,0,94,91,91,95
86,92,0,78,80,91,90,94
93,83,98,88,92,91,86,88
95,87,98,84,92,91,91,95
82,78,92,80,85,91,86,82
86,88,60,87,86,91,95,83
0,87,0,90,90,90,88,92
93,87,98,89,72,90,90,83
89,92,98,86,86,90,92,93
90,79,98,82,87,90,87,81
92,92,0,80,78,90,87,89
91,91,92,74,98,90,78,96
83,87,87,71,61,90,78,88
91,83,98,86,81,90,83,95
98,98,0,85,97,90,97,97
93,98,92,78,88,90,84,87
94,92,0,88,94,90,94,87
88,98,98,81,84,90,82,70
90,92,92,89,84,90,94,90
92,92,98,81,74,90,86,93
92,80,98,81,93,90,92,95
91,83,0,79,92,90,79,97
85,98,0,92,84,90,91,85
89,92,0,88,99,90,94,96
0,87,87,69,60,90,66,73
86,87,92,94,86,90,91,90
87,79,83,60,80,90,73,87
0,83,98,82,74,90,91,89
90,89,98,93,85,90,98,94
79,92,92,92,82,90,83,93
93,80,92,89,88,90,90,91
94,92,92,95,91,90,92,93
96,98,87,88,93,90,94,97
90,83,98,92,88,90,87,85
86,92,98,80,83,90,86,86
90,92,92,74,84,90,97,91
94,85,98,90,91,90,99,90
93,87,0,85,94,90,93,96
89,98,0,78,87,90,83,94
89,85,89,70,71,90,82,87
97,92,0,80,92,90,90,93
92,84,92,72,81,90,82,93
65,87,92,70,60,90,79,80
90,83,92,78,75,90,91,90
0,98,0,0,0,90,98,95
81,0,92,81,74,90,84,87
86,83,92,73,70,90,81,92
85,82,0,67,86,90,0,87
95,80,93,82,84,90,87,94
85,83,98,80,77,90,88,81
76,83,93,83,77,90,66,81
89,98,0,84,82,90,83,94
85,92,92,65,73,90,76,85
90,92,92,79,75,90,84,83
72,85,92,76,77,89,71,73
93,87,87,85,93,89,92,82
