大学英语i,大学计算机iii,数理逻辑,模拟电子技术基础,汇编语言,软件工程
0,0,86,78,89,80
0,0,0,63,70,74
80,88,0,0,80,0
0,0,0,75,71,69
78,0,0,0,94,0
0,0,83,79,0,82
0,0,0,85,85,80
0,0,92,69,79,71
77,77,0,0,0,0
0,0,93,79,88,88
76,0,0,0,0,0
0,0,93,96,98,87
0,0,84,94,84,85
0,76,0,0,0,0
0,0,94,96,90,76
0,0,70,60,0,0
75,73,0,0,90,0
0,0,87,80,93,83
0,92,0,0,0,0
0,81,0,0,0,0
0,0,68,74,0,66
78,89,0,0,0,0
0,0,79,74,81,72
0,73,0,0,0,0
74,89,0,0,85,0
0,0,87,91,72,73
0,89,0,0,0,0
83,88,0,0,0,0
0,0,0,81,67,79
82,83,0,0,0,0
85,72,0,0,0,0
75,0,0,0,0,0
80,91,0,0,0,0
0,0,0,73,87,81
0,0,0,69,71,71
0,77,0,0,0,0
0,0,78,75,82,81
0,79,0,0,81,0
79,68,0,0,0,0
83,92,0,0,0,0
0,0,89,88,96,87
0,0,81,88,92,80
0,0,87,64,77,82
90,84,0,0,0,0
0,0,0,95,84,81
73,80,0,0,0,0
0,0,0,0,0,0
84,0,0,0,0,0
0,0,85,87,82,78
0,0,68,64,78,64
0,64,0,0,24,0
0,76,0,0,0,0
0,0,91,93,82,93
0,0,0,0,0,0
76,93,0,0,0,0
81,79,0,0,0,0
73,86,0,0,0,0
0,0,93,82,0,60
0,0,93,94,86,75
0,0,0,60,0,70
83,68,0,0,0,0
0,0,84,83,74,78
75,86,0,0,0,0
82,81,0,0,0,0
76,82,0,0,0,0
85,87,0,0,0,0
89,68,0,0,0,0
0,0,0,70,87,80
0,0,75,90,68,61
0,86,0,0,98,0
0,0,83,79,71,60
84,0,0,0,0,0
76,0,0,0,0,0
78,82,0,0,0,0
0,0,95,96,92,84
76,86,0,0,85,0
87,0,0,0,0,0
81,74,0,0,0,0
0,0,0,89,93,88
0,89,0,0,0,0
0,0,76,62,76,67
0,0,89,76,78,71
0,0,86,67,89,82
80,82,0,0,0,0
0,0,72,83,78,60
77,88,0,0,97,0
77,81,0,0,0,0
81,91,0,0,0,0
81,87,0,0,0,0
0,0,84,87,78,84
0,0,0,72,79,81
91,84,0,0,0,0
0,72,0,0,86,0
76,84,0,0,0,0
0,0,91,87,85,76
83,85,0,0,0,0
79,0,0,0,0,0
80,0,0,0,89,0
0,0,93,87,87,77
0,0,0,0,0,0
74,88,0,0,70,0
0,87,0,0,0,0
73,79,0,0,0,0
0,72,0,0,0,0
79,76,0,0,0,0
74,0,0,0,94,0
0,0,95,83,76,71
75,68,0,0,0,0
75,90,0,0,55,0
0,0,89,76,91,83
0,0,0,89,80,88
0,0,0,97,94,90
0,0,91,93,87,83
0,90,0,0,0,0
0,74,0,0,0,0
76,79,0,0,0,0
0,0,95,86,79,72
0,0,0,74,71,64
81,78,0,0,90,0
90,81,0,0,0,0
74,92,0,0,0,0
0,0,0,0,0,0
82,75,0,0,0,0
0,94,0,0,87,0
0,0,0,97,92,87
89,93,0,0,0,0
0,0,0,82,73,75
0,96,0,0,0,0
0,0,80,69,87,71
84,78,0,0,0,0
82,0,0,0,96,0
0,0,92,88,87,71
0,0,0,86,78,78
0,62,0,0,49,0
74,77,0,0,70,0
0,72,0,0,0,0
78,93,0,0,0,0
80,89,0,0,96,0
0,0,72,89,80,68
0,0,97,100,91,91
0,0,80,79,84,76
0,0,98,97,90,75
0,92,0,0,0,0
