大学英语i,大学计算机iii,数理逻辑,模拟电子技术基础,汇编语言,软件工程
0,0,0,78,76,61
0,0,88,90,91,90
0,0,77,76,88,72
78,78,0,0,87,0
0,0,0,74,0,81
0,86,0,0,0,0
0,80,0,0,0,0
0,79,0,0,0,0
0,93,0,0,91,0
0,0,0,76,79,61
0,0,65,63,68,67
0,0,91,82,96,89
0,0,78,67,63,79
83,78,0,0,0,0
0,0,0,97,81,78
0,0,0,72,60,0
86,89,0,98,0,0
0,0,92,91,94,83
84,82,0,0,0,0
0,0,83,76,84,80
0,0,65,85,75,70
0,77,0,0,0,0
0,0,81,65,83,70
0,0,91,90,82,72
0,0,80,85,84,81
84,88,0,0,0,0
0,70,0,0,0,0
80,82,0,0,0,0
0,0,81,79,80,65
81,86,0,0,0,0
72,78,0,0,0,0
0,86,0,0,0,0
85,84,0,0,78,0
0,71,0,0,37,0
73,0,0,0,85,0
79,67,0,0,0,0
81,74,0,0,0,0
0,0,0,81,78,68
0,0,90,82,90,86
72,86,0,0,77,60
70,74,0,0,0,0
0,65,0,0,0,0
77,84,0,0,91,85
0,0,89,89,72,79
0,85,0,0,0,0
0,94,0,0,0,0
82,83,0,0,0,0
0,0,80,66,78,65
0,0,0,0,0,0
0,85,0,0,0,0
0,0,79,73,71,60
77,88,0,0,0,0
0,85,0,0,0,0
0,0,85,69,79,73
0,0,0,64,64,66
0,0,0,0,0,0
0,0,0,78,77,80
82,87,0,0,0,0
0,86,0,0,0,0
73,73,0,0,76,0
0,82,0,0,0,0
0,0,78,60,81,62
0,0,86,85,87,75
0,90,0,0,0,0
80,91,0,0,0,0
69,72,0,0,71,0
0,0,0,96,92,80
71,0,0,0,0,0
0,0,85,94,80,80
77,95,0,0,86,0
82,0,0,0,0,0
0,0,0,96,97,91
0,0,78,84,94,81
70,70,0,0,0,0
82,86,0,0,0,0
85,86,0,0,0,0
0,0,0,70,68,73
0,96,0,0,0,0
0,0,85,96,90,90
0,87,0,0,90,0
79,93,0,0,0,0
0,0,78,75,88,90
75,0,0,0,88,0
80,89,0,0,0,0
0,0,0,95,86,80
0,71,0,0,0,0
84,87,0,0,0,0
0,0,0,71,68,78
0,0,94,67,83,62
71,73,0,0,0,0
0,0,90,93,94,78
0,0,95,97,0,91
0,0,95,61,85,80
0,0,88,78,76,82
77,80,0,0,0,0
0,0,98,100,96,94
0,0,74,68,76,69
0,0,0,97,0,0
84,86,0,0,0,0
0,91,0,0,0,0
0,0,0,66,0,0
0,81,0,0,0,0
0,0,82,78,78,72
0,0,92,94,85,63
0,0,70,0,0,0
0,0,93,88,83,0
0,0,86,88,77,82
79,82,0,0,0,0
75,78,0,0,0,0
0,0,85,92,90,96
85,82,0,0,91,0
76,77,0,0,0,0
79,82,0,0,0,0
0,0,65,76,0,60
0,0,66,63,85,65
73,76,0,0,0,0
0,0,99,88,98,89
70,0,0,0,91,0
0,0,0,0,0,0
0,0,82,86,80,93
78,85,0,0,0,0
70,67,0,0,81,0
80,95,0,0,0,0
0,0,86,67,85,72
0,0,0,93,93,89
81,85,0,0,0,0
0,0,60.5,62,62,60
0,0,80,83,18,77
83,0,0,0,0,0
0,91,0,0,0,0
0,0,88,87,81,67
74,0,0,0,0,0
74,0,0,0,80,0
0,0,0,64,68,70
0,0,0,90,0,71
0,0,85,86,87,90
76,83,0,0,0,0
0,0,82,66,77,71
84,70,0,0,0,0
80,87,0,0,0,0
0,0,0,0,0,0
0,0,80,71,84,60
0,90,0,0,0,0
0,0,0,61,75,78
0,86,0,0,0,0
73,77,0,0,0,0
0,95,0,0,0,0
70,83,0,0,0,0
67,82,0,0,0,0
76,81,0,0,0,0
0,0,0,93,87,85
0,0,90,86,89,82
79,83,0,0,0,0
0,0,92,91,76,67
77,82,0,0,0,0
0,0,0,80,0,0
81,77,0,0,0,0
0,0,0,65,77,68
81,74,0,0,0,0
73,87,0,0,0,0
0,0,94,94,89,74
83,90,0,0,88,0
0,0,90,96,88,84
85,85,0,0,0,0
0,0,83,73,89,81
0,0,90,90,84,61
0,0,87,77,92,69
0,88,0,0,90,0
90,86,0,0,0,0
0,92,0,0,0,0
84,78,0,0,0,0
0,0,89,89,87,86
0,0,0,88,80,93
82,73,0,0,61,0
0,82,0,0,0,85
0,83,0,0,0,0
0,0,90,90,87,72
0,0,0,0,97,0
0,0,0,78,82,79
81,83,0,0,0,0
77,0,0,0,0,62
0,0,92,78,86,85
0,81,0,0,0,0
0,0,0,62,70,51
0,0,0,84,90,80
0,0,90,87,90,77
76,85,0,0,86,0
0,0,63,60,69,74
0,0,92,94,95,79
83,80,0,0,0,0
81,86,0,0,0,0
84,74,0,0,0,0
83,75,0,0,0,74
0,0,0,74,89,84
0,88,0,0,94,0
0,0,0,58,81,74
81,87,0,0,0,0
85,88,0,0,0,0
85,77,0,0,0,0
0,0,81,87,83,83
88,82,0,0,0,0
0,0,51,68,61,67
79,91,0,0,0,85
81,0,0,0,0,0
0,0,0,96,88,90
63,70,0,0,0,0
0,0,65,63,82,65
0,76,0,0,0,0
0,87,0,0,0,0
0,0,0,94,87,64
0,0,89,85,73,74
0,0,84,69,60,67
83,84,0,0,91,0
83,84,0,0,0,0
77,76,0,0,0,0
0,73,0,0,0,0
0,0,0,79,78,72
0,0,0,0,92,0
0,0,0,80,76,71
0,0,75,98,78,89
0,69,0,0,42,0
0,0,87,86,84,78
72,81,0,0,0,72
85,88,0,0,0,0
84,90,0,0,84,0
0,87,0,0,0,0
0,0,96,90,92,85
0,0,69,65,66,60
71,0,0,0,0,0
0,0,90,96,84,76
0,0,87,84,82,78
0,0,77,65,74,76
0,0,72,68,71,68
84,90,0,0,77,0
74,85,0,0,0,0
0,93,0,0,89,0
0,92,0,0,0,0
74,0,0,0,0,0
0,70,0,0,0,0
0,0,0,0,73,78
0,0,88,81,88,80
0,0,0,78,63,71
0,0,87,87,72,68
76,78,0,0,0,0
0,0,89,68,85,78
0,0,0,0,0,0
0,0,88,89,91,85
0,93,0,0,0,0
0,0,0,90,79,77
0,83,0,0,0,0
0,0,94,98,97,71
0,0,0,64,60,66
0,0,88,86,83,82
0,0,0,71,80,0
0,91,0,0,63,0
65,73,0,0,0,0
77,60,0,0,78,0
0,0,89,84,89,80
85,84,0,0,0,0
0,0,81,90,88,89
78,0,0,0,79,0
0,0,88,79,89,84
78,80,0,0,0,0
72,92,0,0,0,0
0,0,0,90,81,83
0,86,0,0,0,0
0,72,0,0,0,0
0,0,81,79,72,73
0,0,92,88,87,72
77,88,0,0,0,0
