高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
91,0,79,99,95,92,94,96,87,84,92,79,88,96,91,96,87,92,76,83,84,98,97,93,83,79,84,92,95,89,99,90,87,87,92,85,92
73,77,87,0,77,87,81,80,71,76,79,87,92,90,0,85,65,98,90,92,69,85,0,0,74,76,75,87,95,86,96,73,98,80,87,75,87
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,87,86,80,98,60,75,84,78,85,92,84,80,88,96,74,98,65,92,84,84,100,90,81,84,85,92,97,81,88,73,92,76,87,0,83
0,64,84,0,0,89,80,71,62,69,61,83,80,85,67,61,64,92,80,92,87,85,92,0,84,88,70,92,95,0,73,81,98,81,98,89,87
89,0,98,91,92,93,86,85,73,86,91,92,91,96,92,89,74,92,83,92,83,91,0,88,88,87,85,92,95,0,88,85,98,85,98,97,92
95,96,87,99,97,93,93,93,95,88,94,87,92,94,91,93,87,98,93,92,87,94,0,90,88,88,87,92,95,94,93,84,87,78,87,84,87
90,85,87,0,79,94,84,86,80,86,86,83,87,96,0,87,80,92,73,87,87,88,98,93,88,95,86,92,100,89,96,82,83,80,92,75,83
92,91,87,93,92,85,74,93,86,82,90,87,89,94,91,93,81,98,78,92,89,84,98,95,89,89,84,98,95,94,94,90,92,82,87,83,87
81,96,87,88,88,84,89,79,86,70,88,87,82,92,85,95,81,92,71,92,91,80,98,90,86,93,84,87,95,94,94,87,87,81,83,82,87
77,85,87,89,75,87,85,72,67,77,80,92,96,80,84,64,63,98,76,83,87,68,94,82,64,66,68,83,95,0,0,61,83,62,87,65,87
67,0,83,87,49,66,0,60,45,67,63,70,86,73,74,49,47,87,0,92,47,50,90,0,55,60,60,62,30,51,0,60,70,60,85,60,76
0,91,92,96,0,94,0,84,75,69,90,87,79,97,87,87,72,92,85,83,87,87,0,93,84,82,77,92,95,77,92,82,92,77,87,94,83
87,89,87,95,81,68,85,89,86,81,94,87,87,95,91,96,66,98,67,92,76,90,100,94,86,88,96,92,95,94,89,83,87,76,87,84,87
85,90,92,95,83,97,93,75,75,80,81,87,87,89,77,87,61,92,69,90,80,72,97,87,66,74,64,79,95,70,78,76,76,68,92,68,83
0,91,79,96,0,94,0,94,80,88,90,92,94,94,92,72,68,92,72,92,81,79,98,0,60,72,78,83,95,81,94,78,79,81,92,79,70
77,79,87,87,77,81,73,67,71,77,70,83,86,79,83,94,74,92,66,98,87,80,91,0,83,74,79,92,95,77,83,82,83,77,92,95,83
81,0,87,93,77,90,64,82,88,86,93,83,95,95,87,97,92,98,70,92,90,90,98,98,80,90,88,98,95,0,87,77,73,75,87,80,87
0,0,0,89,0,0,0,78,0,87,84,0,91,0,87,88,74,87,87,98,0,83,0,93,80,76,79,92,0,75,0,84,0,0,0,0,83
86,93,83,83,80,93,65,86,88,82,90,87,95,94,92,88,82,98,76,79,91,84,93,89,81,80,80,87,95,81,0,80,87,76,87,89,92
0,0,98,94,0,97,0,89,84,87,76,92,92,94,93,93,84,92,80,92,90,88,100,92,88,85,89,98,95,86,97,83,92,88,92,94,87
89,0,87,95,92,89,88,82,86,89,89,87,95,93,88,95,85,98,84,87,90,89,98,97,85,87,81,87,95,92,0,75,83,83,87,88,87
77,82,92,80,69,74,70,67,64,68,77,83,76,74,79,71,63,87,73,92,77,68,0,0,75,80,76,83,95,82,84,61,98,78,92,70,87
83,0,83,95,82,86,88,76,78,86,89,87,95,92,93,91,85,98,90,92,90,88,0,88,90,85,87,92,95,92,86,83,92,84,98,86,83
20,32,70,20,20,20,58,20,0,20,20,0,20,20,20,0,0,0,0,0,0,0,0,69,0,0,0,30,0,0,0,0,0,0,0,0,0
90,0,92,92,86,86,84,84,79,91,86,87,94,93,94,94,78,98,85,92,87,83,0,90,85,85,90,92,96,84,95,79,83,76,92,87,83
0,0,0,0,0,66,0,89,79,81,88,92,91,92,84,92,67,87,78,92,85,79,98,0,84,92,88,98,100,87,97,79,98,81,98,92,87
80,0,87,90,95,93,95,86,81,90,91,92,88,90,90,100,82,92,77,92,96,93,98,97,89,82,83,98,95,95,0,86,92,92,83,90,92
0,70,0,77,0,0,0,60,45,0,76,79,0,61,0,63,39,62,0,0,60,32,66,69,60,61,60,30,30,39,61,60,62,34,30,10,0
89,90,87,94,89,89,92,90,86,86,91,87,92,93,86,98,80,98,89,92,94,86,98,94,92,92,93,92,95,97,0,86,98,85,98,94,92
87,81,83,91,64,91,99,80,66,83,89,73,83,86,79,88,73,92,76,98,84,70,96,90,75,80,74,70,73,67,83,80,87,73,85,65,83
91,82,87,0,77,95,71,81,74,88,89,87,87,92,0,96,81,87,82,92,91,92,97,0,83,95,82,98,95,87,92,86,83,80,87,10,83
72,76,87,76,69,85,81,67,60,70,71,83,79,72,71,64,70,87,65,87,61,64,81,0,62,60,68,83,95,71,72,62,66,66,87,75,83
85,0,83,0,94,98,66,98,89,91,94,98,92,97,0,96,84,92,90,87,94,95,100,99,94,93,96,98,100,94,0,95,98,90,98,98,83
