人工智能,优化方法基础,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语i,大学英语iii1,大学英语iii2,大学计算机iii,工程制图,形式语言与编译,操作系统原理i,操作系统设计专题实验,数字逻辑电路,数学建模ii,数据库系统,数据结构与程序设计专题实验,数据结构与算法i,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,汇编语言,电子技术实验1,电子技术实验2,电路,离散数学a,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络,软件工程,面向对象程序设计,高等数学I-1,高等数学I-2
0.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,90.0,93.0,0.0,92.0,95.0,0.0,90.0,95.0,0.0,0.0,92.0,87.0,90.0,88.0,99.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,80.0,92.0
92.0,80.0,99.0,95.0,87.0,87.0,0.0,78.0,86.0,0.0,94.0,89.0,87.0,98.0,93.0,0.0,89.0,94.0,93.0,95.0,93.0,0.0,97.0,96.0,92.0,92.0,93.0,93.0,90.0,0.0,0.0,88.0,97.0,94.0,87.0,85.0,100.0,98.0,92.0,98.0,86.0,94.0,92.0,88.0
71.0,85.0,62.0,60.0,85.0,86.0,0.0,83.0,78.0,0.0,71.0,61.0,78.0,92.0,74.0,0.0,70.0,0.0,73.0,76.0,74.0,0.0,80.0,77.0,79.0,83.0,67.0,79.0,83.0,80.0,71.0,85.0,0.0,83.0,92.0,69.0,83.0,98.0,66.0,73.0,87.0,71.0,71.0,69.0
0.0,0.0,97.0,0.0,98.0,0.0,81.0,0.0,0.0,90.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,95.0
88.0,0.0,95.0,93.0,87.0,92.0,74.0,0.0,0.0,0.0,0.0,77.0,86.0,98.0,89.0,91.0,78.0,83.0,85.0,0.0,72.0,85.0,0.0,0.0,83.0,77.0,90.0,90.0,82.0,75.0,83.0,80.0,90.0,84.0,76.0,87.0,83.0,92.0,84.0,82.0,0.0,91.0,83.0,87.0
74.0,0.0,74.0,89.0,92.0,92.0,0.0,0.0,0.0,79.0,83.0,87.0,89.0,98.0,86.0,82.0,83.0,83.0,77.0,0.0,86.0,86.0,0.0,0.0,83.0,87.0,90.0,92.0,82.0,84.0,93.0,82.0,0.0,93.0,0.0,85.0,88.0,87.0,81.0,0.0,0.0,92.0,81.0,85.0
82.0,93.0,93.0,85.0,98.0,98.0,83.0,0.0,0.0,92.0,88.0,0.0,91.0,98.0,87.0,0.0,0.0,98.0,84.0,0.0,94.0,0.0,0.0,0.0,92.0,92.0,78.0,88.0,100.0,90.0,94.0,91.0,93.0,92.0,0.0,78.0,93.0,92.0,87.0,88.0,0.0,97.0,92.0,95.0
81.0,82.0,87.0,86.0,85.0,92.0,0.0,75.0,78.0,0.0,91.0,81.0,89.0,92.0,81.0,0.0,84.0,98.0,91.0,0.0,82.0,0.0,61.0,87.0,98.0,83.0,88.0,94.0,84.0,75.0,88.0,89.0,0.0,89.0,85.0,83.0,92.0,83.0,87.0,0.0,83.0,86.0,75.0,82.0
79.0,0.0,86.0,76.0,92.0,83.0,80.0,0.0,0.0,81.0,79.0,82.0,78.0,83.0,60.0,78.0,70.0,83.0,73.0,0.0,77.0,76.0,0.0,0.0,87.0,87.0,80.0,78.0,84.0,78.0,85.0,84.0,0.0,93.0,0.0,75.0,81.0,83.0,84.0,81.0,0.0,75.0,80.0,81.0
0.0,0.0,94.0,81.0,92.0,92.0,85.0,0.0,0.0,81.0,88.0,0.0,0.0,0.0,72.0,84.0,0.0,85.0,85.0,0.0,67.0,85.0,0.0,80.0,92.0,73.0,80.0,84.0,86.0,82.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,66.0,77.0
