形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络
79,60,60,84,79,98,60,60,87,60,96
82,88,98,89,90,88,90,79,83,89,95
84,86,98,81,94,92,87,97,83,80,0
83,82,79,77,85,83,71,83,86,71,84
81,95,92,86,84,98,99,98,98,92,90
84,80,92,87,79,98,92,85,98,83,90
0,0,0,0,0,0,0,0,0,0,0
92,90,98,84,78,76,91,83,87,86,96
73,90,98,90,79,88,86,98,76,92,92
69,73,98,76,82,83,80,83,87,68,83
70,0,0,0,92,0,0,0,0,0,0
85,96,92,88,89,0,94,80,87,98,88
78,80,92,73,84,98,88,83,87,78,0
97,91,98,87,89,0,84,97,98,95,0
0,94,98,88,83,0,83,83,87,85,0
0,0,0,0,0,0,0,0,0,0,0
96,84,92,79,86,98,97,88,86,94,0
0,0,0,0,0,0,0,0,0,0,0
0,92,98,89,82,0,88,81,87,89,0
0,0,0,0,0,0,0,0,0,0,0
82,86,98,87,81,0,82,87,87,80,87
0,0,0,0,0,0,0,0,0,0,0
85,77,98,83,84,92,78,98,98,82,77
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
88,94,98,90,91,0,92,92,92,94,0
90,90,98,78,90,98,97,92,79,95,93
88,84,98,83,67,87,92,95,92,88,94
72,85,98,75,82,92,80,98,92,75,91
91,95,98,88,87,0,85,91,92,89,0
80,87,98,82,82,94,85,98,87,86,93
78,97,98,89,86,76,91,92,98,93,99
88,92,92,90,88,98,89,100,92,88,91
83,98,87,80,83,83,90,72,87,82,84
0,0,0,0,0,0,0,0,0,0,0
68,86,92,87,83,76,87,87,92,86,94
86,91,98,91,98,0,70,90,87,89,0
77,92,98,84,80,79,92,83,87,82,83
77,87,92,82,94,98,85,83,76,70,91
82,89,98,81,90,92,93,87,92,86,92
83,89,98,84,87,92,87,100,92,84,90
0,0,0,0,0,0,0,0,0,0,0
91,87,91,77,71,83,87,75,90,83,92
78,94,98,85,92,92,90,98,98,94,90
89,91,92,88,90,92,95,83,98,90,86
87,90,98,87,92,87,79,95,92,84,95
77,83,92,78,86,76,88,79,83,68,70
95,91,92,87,84,0,92,95,87,88,90
0,0,0,0,0,0,0,0,0,0,0
80,87,87,72,68,76,87,100,83,70,0
0,0,0,0,0,0,0,0,0,0,0
95,93,98,90,90,98,94,98,79,89,0
80,92,98,81,86,98,83,100,92,86,89
92,94,98,82,89,98,92,83,98,89,88
65,82,92,82,83,64,82,90,87,91,96
80,90,93,83,80,92,87,92,92,87,90
82,90,98,83,82,98,91,83,76,94,96
83,86,87,74,74,92,86,95,79,84,0
80,60,92,76,77,87,76,95,87,69,82
0,0,0,0,0,0,0,0,0,0,0
80,89,98,88,87,98,94,98,83,92,95
86,92,98,84,84,0,73,88,98,81,0
78,85,98,83,85,92,81,87,98,80,87
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
65,94,98,89,91,76,94,87,87,86,0
87,99,98,88,97,76,89,98,92,94,99
0,0,0,0,0,0,0,0,0,0,0
70,60,92,82,79,79,60,79,92,60,92
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
69,82,83,67,78,79,64,79,87,71,72
76,83,92,75,78,92,94,98,92,83,97
85,92,98,94,85,87,95,95,87,96,87
61,65,0,60,80,0,62,0,0,86,0
88,96,92,86,85,0,93,80,87,93,0
86,91,92,86,84,0,75,90,87,86,0
0,78,98,81,96,0,68,96,87,73,0
75,82,92,78,80,83,75,83,87,87,76
71,87,92,87,79,79,60,76,87,60,72
79,97,98,85,74,76,86,98,83,95,92
72,80,98,77,78,76,85,90,92,91,0
75,85,98,85,80,83,81,95,92,81,89
0,0,0,0,0,0,0,0,0,0,0
60,75,92,68,77,79,61,83,83,76,76
60,75,92,65,89,83,74,85,87,64,79
87,97,97,83,83,83,91,88,91,87,91
73,93,98,79,90,76,89,98,98,92,96
60,80,92,60,60,61,60,98,79,77,0
95,89,98,87,91,0,84,98,98,87,92
0,0,0,0,0,0,0,0,0,0,0
92,96,97,78,86,92,84,80,89,79,91
70,92,98,79,90,98,90,98,98,80,93
65,78,92,76,77,83,79,87,98,77,82
83,91,92,89,87,88,99,79,76,92,88
63,85,98,77,85,92,86,98,98,75,90
86,87,98,91,89,98,83,98,98,81,88
0,0,0,0,0,0,0,0,0,0,0
63,81,92,70,85,76,79,79,83,85,79
74,86,92,80,82,98,89,83,92,80,73
77,87,98,60,90,92,60,60,98,81,96
65,80,92,70,85,92,73,98,87,75,81
95,92,98,83,83,0,89,92,87,93,0
85,69,66,60,88,76,84,85,92,86,0
81,83,92,60,84,92,60,60,92,86,81
81,87,98,86,89,85,94,92,87,79,94
80,85,94,78,88,92,84,83,90,87,93
70,83,98,81,87,85,89,83,76,69,91
79,86,88,76,88,70,78,90,90,81,86
80,87,98,89,87,92,89,97,92,90,88
82,87,98,83,99,98,92,87,83,89,0
84,82,92,79,87,83,75,78,93,84,85
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
80,89,98,85,89,98,96,98,87,91,98
84,93,98,95,90,98,94,100,98,96,98
74,68,98,61,84,87,73,95,87,60,81
0,0,0,0,0,0,0,0,0,0,0
79,94,92,77,82,83,76,78,87,87,90
79,89,88,88,80,70,89,80,92,77,90
93,90,98,85,88,0,79,91,87,80,97
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
88,88,98,91,87,0,80,89,87,82,87
90,84,98,85,82,0,88,81,92,89,0
95,93,98,88,87,0,91,81,92,92,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
88,88,88,86,80,92,69,83,88,87,91
0,91,98,86,95,0,82,96,87,77,0
91,92,98,92,89,0,88,95,92,93,0
79,93,92,84,84,76,97,98,92,95,92
85,87,98,82,82,0,84,84,87,78,87
81,88,92,87,85,0,69,92,92,84,0
77,87,94,81,88,83,84,85,89,95,89
89,91,98,84,82,0,81,95,92,87,84
82,92,98,84,87,0,82,92,92,86,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
69,92,92,82,81,76,88,70,87,88,89
77,91,98,87,80,76,90,85,92,88,0
79,95,96,91,80,70,80,88,90,84,85
81,84,92,84,71,0,93,82,87,75,0
80,83,92,81,83,0,74,94,87,85,0
82,91,98,86,80,98,95,92,79,94,98
70,81,92,91,74,98,77,95,76,87,77
83,99,98,87,87,98,91,98,92,94,91
81,93,98,89,98,0,90,93,92,94,0
88,93,98,84,79,98,98,98,79,94,95
0,81,98,0,0,100,0,0,0,87,0
92,90,98,77,70,87,80,95,73,88,80
84,0,0,0,98,0,0,0,0,0,0
72,66,83,60,6,0,60,27,62,61,0
90,97,98,83,83,87,88,95,92,86,84
90,89,92,86,80,0,79,77,83,91,84
84,84,92,74,83,87,96,83,76,82,91
83,87,98,79,96,90,92,92,83,84,92
77,80,98,80,88,92,85,100,92,88,91
79,88,98,87,94,98,89,98,83,80,94
82,80,87,80,76,87,81,95,87,80,89
85,96,97,77,85,70,86,80,93,85,91
0,0,0,0,0,0,0,0,0,0,0
77,86,98,85,71,87,79,100,87,77,86
84,97,98,84,85,92,95,100,92,90,94
70,65,98,72,79,88,65,79,76,77,85
77,84,98,79,77,92,90,83,92,72,84
0,0,0,0,0,0,0,0,0,0,0
67,82,83,72,70,87,76,95,92,74,71
91,90,98,84,90,0,88,86,87,90,87
80,94,83,75,90,87,69,95,79,91,88
80,85,98,83,74,76,76,73,92,83,0
83,94,98,75,80,83,90,79,90,86,84
0,0,0,0,0,0,0,0,0,0,0
79,93,98,83,87,0,92,92,92,89,0
76,96,98,87,80,76,92,98,98,89,97
79,82,92,70,81,0,64,74,76,91,0
91,90,85,83,80,70,85,85,93,91,82
83,86,98,87,86,72,87,98,98,94,0
69,89,83,78,77,76,77,85,87,82,0
85,93,98,76,84,92,92,79,87,92,0
75,92,92,77,84,76,86,85,87,92,0
0,0,0,0,0,0,0,0,0,0,0
76,87,98,85,94,90,81,98,87,87,0
0,0,0,0,0,0,0,0,0,0,0
83,94,92,87,70,76,86,92,87,93,0
91,89,90,83,70,70,82,75,87,81,83
66,64,92,61,82,92,63,98,83,66,66
77,86,83,86,87,0,74,80,87,78,0
0,0,0,0,0,0,0,0,0,0,0
87,79,92,90,76,92,83,95,87,84,85
83,87,92,84,89,87,92,95,92,86,91
83,88,98,95,87,0,93,91,83,78,0
84,86,83,81,73,87,82,97,92,81,78
93,90,92,88,84,0,76,92,98,86,0
65,92,62,75,70,76,78,98,66,75,60
73,85,92,81,71,92,86,95,98,87,94
81,88,98,86,89,0,85,90,87,86,91
80,89,92,85,80,79,85,83,98,85,79
81,92,98,77,91,98,89,98,92,91,84
75,82,92,79,70,87,89,95,79,84,0
61,75,92,69,81,83,73,83,92,62,84
83,93,92,90,82,0,83,72,92,84,0
83,92,98,86,89,76,92,83,92,97,98
82,98,98,75,80,70,91,90,93,87,93
0,0,0,0,0,0,0,0,0,0,0
89,85,98,87,89,0,85,93,92,83,0
68,89,98,76,74,76,80,98,87,85,0
0,0,0,0,0,0,0,0,0,0,0
0,90,92,84,85,0,85,95,92,75,0
89,89,92,86,84,0,86,91,87,96,0
0,0,0,0,0,0,0,0,0,0,0
78,92,92,78,89,88,91,98,76,89,92
69,86,98,80,96,98,85,98,98,77,89
75,78,92,72,93,83,90,83,92,82,94
0,0,0,0,0,0,0,0,0,0,0
84,81,83,84,83,0,77,77,87,80,0
67,97,98,86,92,76,97,98,92,85,96
90,89,92,94,86,0,84,93,87,85,0
81,94,98,84,91,76,89,98,98,95,97
84,83,94,84,80,92,82,85,94,81,85
83,71,98,88,82,62,81,95,98,77,88
61,87,92,81,73,0,68,77,87,74,0
83,80,93,77,80,92,77,82,86,73,0
0,0,0,0,0,0,0,0,0,0,0
87,89,98,83,82,0,85,88,87,81,0
81,93,87,87,71,83,86,95,87,84,82
85,87,87,75,84,87,85,95,83,81,88
0,0,0,0,0,0,0,0,0,0,0
71,87,92,80,93,92,89,79,83,91,0
87,94,98,88,84,85,89,98,98,96,98
61,83,98,80,83,87,78,83,79,80,0
92,96,90,82,80,92,91,90,87,84,79
66,88,92,83,67,87,86,95,87,96,84
87,92,98,90,76,0,71,70,87,92,93
84,86,92,87,88,0,89,90,87,78,98
74,81,92,82,92,85,86,79,76,81,90
87,81,86,73,70,70,79,63,90,73,83
83,87,84,82,79,70,72,78,85,80,84
77,89,98,83,95,98,60,79,92,78,95
80,92,92,86,89,98,92,95,98,93,94
0,0,0,0,0,0,0,0,0,0,0
67,87,92,78,78,83,85,79,92,80,77
66,75,98,73,74,96,80,94,92,75,0
0,0,0,0,0,0,0,0,0,0,0
74,87,98,80,76,0,84,78,70,87,0
86,96,94,85,83,92,88,82,87,90,91
81,87,92,82,79,92,88,95,92,83,85
82,82,92,82,79,83,82,72,89,81,89
66,73,90,78,80,70,84,93,85,77,0
74,83,98,79,79,98,81,83,92,87,91
81,89,98,90,78,87,89,95,92,84,83
82,86,98,85,98,98,94,98,83,80,89
67,0,0,0,88,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
71,92,98,82,85,85,73,98,92,87,95
70,87,92,74,76,98,79,92,76,90,84
92,88,92,91,90,0,80,87,87,93,0
67,87,92,87,83,83,79,83,83,84,80
0,0,0,0,0,0,0,0,0,0,0
83,90,98,88,88,88,70,87,76,85,91
85,86,98,80,76,87,82,97,92,80,86
0,0,0,0,0,0,0,0,0,0,0
84,91,91,75,86,83,86,70,89,84,74
70,60,60,77,84,92,60,60,98,60,93
0,0,0,0,0,0,0,0,0,0,0
85,89,98,81,80,92,84,98,98,85,85
92,89,98,90,89,76,93,88,98,97,0
0,0,0,0,0,0,0,0,0,0,0
0,83,87,87,87,0,68,87,92,77,80
0,0,0,0,0,0,0,0,0,0,0
85,90,98,86,76,92,81,95,87,88,91
82,86,92,76,84,92,69,97,87,89,87
0,0,0,0,0,0,0,0,0,0,0
81,90,90,90,83,83,87,93,93,88,84
90,85,98,85,88,88,90,83,76,94,91
89,89,98,86,80,92,97,85,94,89,90
71,78,93,77,80,92,77,79,86,74,87
0,0,0,0,0,0,0,0,0,0,0
78,85,92,84,91,87,87,100,87,89,83
76,82,98,81,77,98,84,83,98,86,88
0,88,87,86,84,0,76,73,87,79,0
75,88,92,88,91,0,77,70,87,78,0
88,93,92,93,93,98,89,92,98,91,99
83,84,98,90,87,83,94,87,98,81,94
78,92,92,86,90,76,85,85,92,96,0
0,0,0,0,0,0,0,0,0,0,0
80,90,98,79,77,98,91,98,92,76,94
71,80,91,67,82,70,61,70,88,62,86
76,78,72,75,88,83,69,78,85,85,84
79,85,92,80,93,92,86,79,83,83,90
63,74,92,72,79,87,87,79,87,70,72
0,0,0,0,0,0,0,0,0,0,0
73,71,92,74,76,94,76,79,76,69,86
62,88,92,74,84,92,93,87,70,77,0
84,87,92,85,77,90,85,79,79,96,90
67,67,83,76,82,0,70,88,87,60,0
0,0,0,0,0,0,0,0,0,0,0
85,92,98,90,72,98,95,100,98,90,76
63,83,98,60,85,92,79,98,87,64,75
88,83,98,91,88,0,68,85,92,82,0
92,90,98,87,93,0,70,96,92,86,94
81,84,92,87,88,0,85,95,92,90,0
83,87,92,76,76,87,86,95,70,77,0
81,77,76,80,76,92,91,95,73,84,79
82,85,92,83,80,0,83,60,92,83,0
89,90,98,84,82,0,88,98,98,90,0
0,0,0,0,0,0,0,0,0,0,0
84,89,98,86,88,0,85,83,92,88,0
89,88,92,86,76,87,90,100,98,94,0
0,0,0,0,0,0,0,0,0,0,0
84,92,98,87,86,85,89,98,98,85,89
0,0,0,0,0,0,0,0,0,0,0
83,93,98,90,86,98,89,79,79,87,90
76,77,96,70,85,83,60,65,88,70,87
79,78,98,79,82,0,84,84,92,70,0
73,83,92,83,85,76,76,98,92,74,97
86,80,92,88,90,0,82,81,87,79,0
84,85,98,83,80,92,88,95,92,89,94
82,92,98,90,93,76,84,98,98,86,99
0,0,0,0,0,0,0,0,0,0,0
72,87,98,68,92,90,76,70,79,72,91
0,0,0,0,0,0,0,0,0,0,0
81,86,93,82,88,92,77,88,89,77,0
63,66,87,80,0,76,80,83,87,60,0
65,81,92,84,82,0,82,95,87,75,0
0,0,92,0,0,0,0,90,0,0,0
84,94,96,89,81,83,92,86,92,79,91
64,86,88,71,92,70,68,70,83,75,84
0,0,0,0,0,0,0,0,0,0,0
0,91,92,86,87,0,74,90,92,87,0
51,83,92,77,80,0,71,70,87,72,0
0,0,0,0,0,0,0,0,0,0,0
74,84,92,73,65,87,81,97,92,85,0
0,0,0,0,0,0,0,0,0,0,0
61,80,98,77,97,83,78,79,87,66,68
0,0,0,0,0,0,0,0,0,0,0
79,97,98,92,90,98,91,98,98,90,0
96,84,92,88,88,0,83,80,87,82,0
71,88,98,64,85,92,81,87,87,72,72
82,74,87,75,77,92,78,95,79,75,81
85,75,87,86,86,0,71,81,87,73,0
75,92,83,81,94,94,91,92,87,87,95
78,86,90,84,79,83,76,90,87,85,88
0,88,98,88,82,0,82,87,92,83,94
71,85,92,74,85,98,85,79,87,71,79
0,0,0,0,0,0,0,0,0,0,0
78,84,92,77,85,92,77,90,90,81,90
0,0,0,0,0,0,0,0,0,0,0
78,75,92,74,75,92,70,95,79,76,79
78,88,71,71,80,83,86,71,87,85,0
0,0,0,0,0,0,0,0,0,0,0
85,92,98,86,91,76,95,98,98,93,92
76,89,86,74,82,83,86,80,87,86,87
90,87,98,79,82,0,87,80,92,71,0
78,97,92,87,86,85,90,88,92,81,97
90,91,93,86,79,83,95,81,90,94,88
82,88,98,85,93,87,92,92,83,93,94
68,0,0,80,85,0,0,0,79,0,0
72,84,92,78,90,76,72,85,98,72,87
87,85,98,88,100,0,80,95,98,84,90
69,75,98,67,83,92,85,79,87,61,76
84,97,92,80,71,70,67,79,87,79,91
72,84,79,80,85,76,78,85,76,68,0
88,93,98,93,90,98,99,79,87,95,0
73,90,98,75,87,98,83,98,98,87,89
76,80,92,73,88,83,86,83,92,68,63
75,80,92,81,90,87,72,95,83,71,85
89,84,89,72,85,70,62,79,87,77,83
74,83,98,76,90,92,83,98,92,73,86
75,85,92,84,80,0,85,80,87,86,0
0,0,0,0,0,0,0,0,0,0,0
84,83,93,81,80,92,68,86,88,90,84
70,88,93,75,80,83,81,85,87,83,79
76,90,93,68,86,83,73,90,89,81,89
81,89,92,84,89,85,83,92,83,87,0
78,87,92,80,85,0,69,84,87,76,0
71,83,92,75,80,92,92,92,76,87,0
79,81,95,76,93,92,73,90,92,75,89
71,85,92,77,78,85,73,88,92,67,89
73,80,98,83,83,76,90,88,87,86,88
89,86,98,86,89,0,80,83,87,82,0
75,86,87,83,74,76,87,85,79,82,90
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
84,83,92,75,87,98,80,98,98,82,83
64,94,98,82,77,76,80,92,98,92,91
89,85,92,84,83,0,81,80,92,85,0
91,89,98,90,81,0,85,80,87,84,0
74,82,92,83,95,76,90,98,98,94,99
81,80,95,68,80,83,81,90,91,74,89
83,94,98,88,88,90,85,92,79,87,91
0,0,0,0,0,0,0,0,0,0,0
78,90,98,76,78,92,90,83,92,81,73
77,76,75,68,70,83,69,69,83,63,1
81,83,92,85,85,73,76,95,70,81,0
0,0,0,0,0,0,0,0,0,0,0
80,85,98,86,86,88,83,92,79,88,89
86,87,98,89,89,98,92,98,92,85,94
78,88,93,72,80,83,72,78,90,85,84
0,0,0,0,0,0,0,0,0,0,0
77,92,98,87,94,90,85,92,92,90,92
81,82,92,84,72,87,79,97,87,87,87
81,94,94,82,89,92,86,82,92,93,89
82,78,92,83,80,0,83,94,87,81,81
0,0,0,0,0,0,0,0,0,0,0
74,90,96,78,80,83,84,89,92,69,0
72,85,92,80,87,88,90,79,79,85,91
61,82,92,81,85,98,68,100,76,60,92
81,88,92,82,78,0,82,81,87,80,0
78,86,98,84,76,92,89,95,83,86,63
69,76,92,87,69,76,81,87,87,74,83
78,86,88,81,75,83,75,68,89,90,84
86,87,92,78,78,92,80,95,83,72,0
77,76,87,81,83,0,62,83,92,78,0
66,93,92,78,69,76,88,83,92,83,94
89,94,98,84,92,98,95,98,83,94,96
67,71,87,76,65,79,76,95,76,68,79
77,89,92,83,88,92,84,79,87,84,90
81,92,98,78,78,87,81,95,98,83,81
70,81,92,80,85,88,83,79,76,84,87
0,0,0,0,0,0,0,0,0,0,0
75,77,87,79,76,87,73,97,98,71,0
75,92,92,86,84,76,89,76,87,94,0
75,87,98,74,90,98,92,85,92,80,94
0,0,0,0,0,0,0,0,0,0,0
67,84,92,76,83,83,85,83,92,73,84
73,81,92,78,79,83,87,83,87,71,86
