大学物理II2,2019-2020-1,9BE0192AA75B72FBE0536B27F5DB8E2D,880c6bbd7f9e150174ee45caad34f7ce,PHYS260709,2020-01-14,4.00,77.00,A,20210310,2021-03-10 17:22:01.000000,2020-01-13,01
计算机体系结构,2020-2021-2,C477EAC2CE0F480EE0536B27F5DBE9ED,880c6bbd7f9e150174ee45caad34f7ce,COMP461505,2021-06-11,3.00,86.00,,,,2021-06-11,01
24式太极拳,2020-2021-1,B811D5D30AAE458CE0536B27F5DB7599,880c6bbd7f9e150174ee45caad34f7ce,0H00200100,2021-01-10,0.00,0.00,A,20210310,2021-03-10 17:22:01.000000,2021-01-04,02
形式语言与编译,2019-2020-2,A8483D5BCDBD4BFBE0536B27F5DB51AA,880c6bbd7f9e150174ee45caad34f7ce,COMP450305,2020-09-28,3.50,71.00,A,20210310,2021-03-10 17:22:01.000000,2020-06-17,01
体育-4,2019-2020-2,A91D2D7E7629ABFFE0536A27F5DB4E97,880c6bbd7f9e150174ee45caad34f7ce,PHED109350,2020-06-28,0.50,80.00,A,20210310,2021-03-10 17:22:01.000000,2020-06-28,01
体育1,2018-2019-1,7DF83EDA97CC431CE0536A27F5DBB655,880c6bbd7f9e150174ee45caad34f7ce,PHED101650,2018-12-27,0.50,77.00,A,20210310,2021-03-10 17:22:01.000000,2018-12-27,01
论文写作与发表,2021-2022-2,DFC1779510B9192BE0536B27F5DB2483,880c6bbd7f9e150174ee45caad34f7ce,SCTR400205,2022-05-31,1.00,87.00,,,,2022-05-26,01
大学综合英语（钱学森实验班）2,2018-2019-2,8B33F4888421523CE0536B27F5DB2043,880c6bbd7f9e150174ee45caad34f7ce,ENGL106712,2019-06-14,4.00,87.00,A,20210310,2021-03-10 17:22:01.000000,2019-06-14,01
计算机网络,2020-2021-1,B8F109EDF30254ACE0536A27F5DB7E59,880c6bbd7f9e150174ee45caad34f7ce,COMP461205,2021-01-18,3.50,91.00,A,20210310,2021-03-10 17:22:01.000000,2021-01-15,01
大学物理II1,2018-2019-2,8C381F93980B71DAE0536A27F5DB01BE,880c6bbd7f9e150174ee45caad34f7ce,PHYS260609,2019-06-27,4.00,84.00,A,20210310,2021-03-10 17:22:01.000000,2019-06-26,01
数学物理方程,2019-2020-1,9BB17EA4D0CE65C4E0536A27F5DB4B03,880c6bbd7f9e150174ee45caad34f7ce,MATH201607,2020-01-12,2.00,78.00,A,20210310,2021-03-10 17:22:01.000000,2020-01-10,01
数据仓库与数据挖掘,2021-2022-1,D1AECD4E49F7F6E8E0536A27F5DBAEDF,880c6bbd7f9e150174ee45caad34f7ce,COMP551705,2022-02-18,2.00,75.00,,,,2021-11-27,01
项目设计,2021-2022-1,DB44C3C3EDCC5315E0536A27F5DB606F,880c6bbd7f9e150174ee45caad34f7ce,ITDE900127,2022-03-31,1.00,92.00,,,,2022-03-31,01
神经生物学与脑科学,2019-2020-2,A794DDA147BE0ACAE0536A27F5DB1501,880c6bbd7f9e150174ee45caad34f7ce,BIOL511313,2020-06-10,2.00,75.00,A,20210310,2021-03-10 17:22:01.000000,2020-06-10,01
计算机图形学,2020-2021-1,B781B26BEB639C51E0536A27F5DBF315,880c6bbd7f9e150174ee45caad34f7ce,COMP551805,2020-12-28,2.50,94.00,A,20210310,2021-03-10 17:22:01.000000,2020-12-28,01
离散数学A,2018-2019-2,8BCED27973B0F47EE0536B27F5DB8C11,880c6bbd7f9e150174ee45caad34f7ce,COMP250105,2019-06-21,4.00,83.00,A,20210310,2021-03-10 17:22:01.000000,2019-06-21,01
电路,2019-2020-1,9C1F100EA5843232E0536B27F5DB0B83,880c6bbd7f9e150174ee45caad34f7ce,ELEC426304,2020-01-19,4.00,90.00,A,20210310,2021-03-10 17:22:01.000000,2020-01-15,01
