-26,2019-05-05 19:26:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-34,2019-05-01 16:20:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-18,2019-05-01 16:33:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-800,2019-05-08 11:27:46.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,饸烙面,153
-400,2019-05-10 17:33:44.000000,2186113485,5,饮食中心\西交大本部校区\兴庆校区外包商户,凉皮饸络组,193
-1200,2019-05-11 18:53:59.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,泡馍组,78
-20,2019-05-11 21:45:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-800,2019-05-11 12:37:00.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,卤肉饭组,223
-1300,2019-05-16 18:25:20.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,五谷鱼粉组,291
-750,2019-05-12 18:53:20.000000,2186113485,3,温泉干水洗服务部\\,交大温泉干水洗服务部,120
-780,2019-06-02 19:00:26.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,苗家掉渣饼组,93
-10,2019-05-23 20:46:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-200,2019-04-10 16:03:38.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,新疆抓饭,2
-200,2019-05-30 18:46:47.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,新疆抓饭,1
-900,2019-05-17 12:34:54.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,火锅米线,158
-1150,2019-05-21 12:06:01.000000,2186113485,3,温泉干水洗服务部\\,交大温泉干水洗服务部,120
-400,2019-04-08 12:05:23.000000,2186113485,5,饮食中心\西交大本部校区\兴庆校区外包商户,凉皮饸络组,193
-650,2019-04-10 16:03:43.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,苗家掉渣饼组,93
-200,2019-05-30 18:46:44.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,新疆抓饭,90
-300,2019-06-05 21:30:05.000000,2186113485,3,东九梦婷商店\\,东九梦婷商店,6
-350,2019-06-02 19:36:15.000000,2186113485,3,东九梦婷商店\\,东九梦婷商店,6
-300,2019-06-03 12:25:08.000000,2186113485,3,温泉干水洗服务部\\,交大温泉干水洗服务部,120
-2000,2019-06-06 19:00:16.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,五谷鱼粉组,291
-60,2019-04-14 12:29:47.000000,2186113485,5,饮食中心\西交大本部校区\学生三食堂,包子组,260
-800,2019-06-07 17:35:18.000000,2186113485,5,饮食中心\西交大本部校区\梧桐苑,盖饭,39
-300,2019-04-11 15:52:44.000000,2186113485,3,东九梦婷商店\\,东九梦婷商店,6
-500,2019-04-12 19:17:08.000000,2186113485,3,东九绿色水果店\\,东九绿色水果店,121
-400,2019-04-13 19:24:03.000000,2186113485,3,东九梦婷商店\\,东九梦婷商店,6
-500,2019-04-19 18:27:26.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,饸烙面,31
-210,2019-04-16 11:58:41.000000,2186113485,5,饮食中心\西交大本部校区\学生一食堂,饮料组,49
-350,2019-04-18 17:07:16.000000,2186113485,5,饮食中心\西交大本部校区\梧桐苑,面食,58
-60,2019-04-19 12:28:19.000000,2186113485,5,饮食中心\西交大本部校区\学生三食堂,包子组,260
-1200,2019-04-19 12:10:40.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,泡馍组,78
-400,2019-04-22 11:23:41.000000,2186113485,3,东九梦婷商店\\,东九梦婷商店,6
-100,2019-06-07 17:36:28.000000,2186113485,5,饮食中心\西交大本部校区\梧桐苑,主食花样,42
-2,2019-06-08 16:09:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-2,2019-04-20 20:49:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-300,2019-04-22 18:25:05.000000,2186113485,3,东九梦婷商店\\,东九梦婷商店,6
-350,2019-04-22 18:10:11.000000,2186113485,5,饮食中心\西交大本部校区\梧桐苑,面食,58
-10,2019-06-08 16:15:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-500,2019-06-08 16:25:49.000000,2186113485,3,温泉干水洗服务部\\,交大温泉干水洗服务部,120
-900,2019-06-09 12:12:46.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,火锅米线,35
-1000,2019-06-11 11:55:20.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,煲仔饭组,61
-60,2019-06-09 18:08:37.000000,2186113485,5,饮食中心\西交大本部校区\学生三食堂,包子组,260
-60,2019-06-11 11:57:58.000000,2186113485,5,饮食中心\西交大本部校区\学生四食堂,自选三组,52
-1300,2019-06-13 12:09:44.000000,2186113485,5,饮食中心\西交大本部校区\梧桐苑,泡馍,45
-400,2019-06-11 18:20:06.000000,2186113485,5,饮食中心\西交大本部校区\学生一食堂,饮料组,49
-60,2019-06-12 11:07:27.000000,2186113485,5,饮食中心\西交大本部校区\学生三食堂,包子组,260
-350,2019-06-25 16:10:15.000000,2186113485,3,温泉干水洗服务部\\,交大温泉干水洗服务部,120
-2,2019-06-15 14:07:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-12,2019-06-15 14:21:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-350,2019-06-16 17:37:25.000000,2186113485,3,温泉干水洗服务部\\,交大温泉干水洗服务部,120
-1800,2019-06-17 12:00:26.000000,2186113485,3,温泉干水洗服务部\\,交大温泉干水洗服务部,120
-300,2019-04-24 18:53:59.000000,2186113485,3,温泉干水洗服务部\\,交大温泉干水洗服务部,120
-150,2019-06-19 18:14:36.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,饸烙面,152
-500,2019-06-19 18:14:03.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,饸烙面,32
-10,2019-06-15 14:16:00.000000,2186113485,4,饮食中心\西交大本部校区\温泉浴室,,1
-400,2019-06-16 17:06:27.000000,2186113485,5,饮食中心\西交大本部校区\兴庆校区外包商户,馄饨汤包组,77
-800,2019-04-24 18:30:06.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,卤肉饭组,223
-800,2019-04-27 17:50:21.000000,2186113485,5,饮食中心\西交大本部校区\东苑餐厅,快餐组,297
-60,2019-06-24 11:38:50.000000,2186113485,5,饮食中心\西交大本部校区\学生三食堂,包子组,260
-1000,2019-06-25 18:21:54.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,五谷鱼粉组,291
-200,2019-06-25 11:26:05.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,新疆抓饭,2
-500,2019-04-30 19:10:17.000000,2186113485,3,东九绿色水果店\\,东九绿色水果店,121
-300,2019-07-02 16:15:47.000000,2186113485,3,东九梦婷商店\\,东九梦婷商店,6
-600,2019-04-29 19:41:24.000000,2186113485,3,东九梦婷商店\\,东九梦婷商店,6
-300,2019-04-30 16:06:00.000000,2186113485,3,东九梦婷商店\\,东九梦婷商店,6
-1000,2019-07-02 11:29:23.000000,2186113485,5,饮食中心\西交大本部校区\兴庆校区外包商户,岐山面组,254
-200,2019-07-02 17:51:14.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,新疆抓饭,2
-1300,2019-07-03 11:29:21.000000,2186113485,5,饮食中心\西交大本部校区\梧桐苑,泡馍,45
-1200,2019-04-29 11:29:46.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,煲仔饭组,61
-240,2019-04-30 19:10:25.000000,2186113485,3,东九绿色水果店\\,东九绿色水果店,121
-100,2019-05-09 16:35:05.000000,2186113485,3,东九梦婷商店\\,东九梦婷商店,6
-900,2019-05-05 12:10:18.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,饭团,5
-1200,2019-05-05 17:29:20.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,泡馍组,78
-350,2019-05-06 18:34:36.000000,2186113485,5,饮食中心\西交大本部校区\梧桐苑,面食,241
-350,2019-05-06 18:34:04.000000,2186113485,5,饮食中心\西交大本部校区\梧桐苑,面食,58
-60,2019-05-08 11:47:06.000000,2186113485,5,饮食中心\西交大本部校区\学生三食堂,包子组,260
-1200,2019-07-05 11:20:12.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,泡馍组,78
-1000,2019-05-09 18:14:58.000000,2186113485,5,饮食中心\西交大本部校区\康桥苑外包商户,五谷鱼粉组,291
-310,2019-05-11 12:40:00.000000,2186113485,5,饮食中心\西交大本部校区\学生三食堂,卤菜组,229
